x,y,depth,u,A,SG,SGI,SedRate
4.223871e+05,3.856296e+06,2.214600e+01,5.902284e-01,8.733000e+04,6.012991e-03,6.717431e-11,0.000000e+00
4.226321e+05,3.856438e+06,2.182000e+01,6.448435e-01,8.238000e+04,5.269328e-03,6.240359e-11,0.000000e+00
4.228632e+05,3.856571e+06,2.161700e+01,7.085599e-01,7.773000e+04,4.567296e-03,5.732534e-11,0.000000e+00
4.230812e+05,3.856697e+06,2.158900e+01,7.543139e-01,7.335000e+04,4.053760e-03,5.391803e-11,0.000000e+00
4.232869e+05,3.856816e+06,1.947900e+01,8.297908e-01,6.918000e+04,3.852014e-03,5.432295e-11,0.000000e+00
4.234809e+05,3.856928e+06,1.839700e+01,9.119517e-01,6.527175e+04,3.501458e-03,5.233591e-11,0.000000e+00
4.236640e+05,3.857033e+06,1.300000e+01,1.064278e+00,6.161053e+04,4.007736e-03,6.346295e-11,0.000000e+00
4.238367e+05,3.857133e+06,1.306800e+01,1.255940e+00,5.805000e+04,3.183221e-03,5.349840e-11,0.000000e+00
4.239996e+05,3.857227e+06,1.396300e+01,1.261243e+00,5.478000e+04,2.799542e-03,4.985872e-11,0.000000e+00
4.241533e+05,3.857316e+06,1.243400e+01,1.304701e+00,5.172000e+04,2.869321e-03,5.412486e-11,0.000000e+00
4.242983e+05,3.857400e+06,1.258700e+01,1.378873e+00,4.875000e+04,2.527962e-03,5.059087e-11,0.000000e+00
4.141869e+05,3.851908e+06,5.126000e+00,5.031788e-02,9.003000e+04,3.141441e-01,3.404221e-09,-5.000000e-03
4.144468e+05,3.852058e+06,2.169600e+01,9.089129e-02,9.000000e+04,4.107552e-02,4.452631e-10,0.000000e+00
4.147066e+05,3.852208e+06,2.061300e+01,1.222836e-01,9.000000e+04,3.213481e-02,3.483448e-10,-2.000000e-03
4.149664e+05,3.852358e+06,2.169600e+01,1.501168e-01,9.000000e+04,2.487001e-02,2.695936e-10,0.000000e+00
4.152262e+05,3.852508e+06,2.204000e+01,1.703743e-01,9.000000e+04,2.157095e-02,2.338314e-10,0.000000e+00
4.154860e+05,3.852658e+06,2.254300e+01,1.886685e-01,9.000000e+04,1.904469e-02,2.064466e-10,0.000000e+00
